category,scenario,time_offset_s,bias_x_m,bias_y_m,p_value,effect_index,ci_x_low,ci_x_high,ci_y_low,ci_y_high,trajectory_rms_change_m,mean_pre_gate_nis
alignment,linear-irls0,-367.8714933339918,-0.15332835512850435,-0.1196290707327461,,,,,,,,
alignment,linear-irls3,-367.8716942718054,-0.1529516101362867,-0.1444204032798597,,,,,,,,
alignment,pchip-irls0,-367.87579458386995,-0.15625345412076738,-0.12042863603003764,,,,,,,,
alignment,pchip-irls3,-367.87761939367795,-0.15177514026395128,-0.1503301777580156,,,,,,,,
alignment,cubic-irls0,-367.87667126040765,-0.15674334451889496,-0.12065787392234384,,,,,,,,
alignment,cubic-irls3,-367.8759375761013,-0.14447134909636555,-0.148336681427682,,,,,,,,
search_width,half-width-5s,-367.8809686207551,-0.12822771746040457,-0.181648903724433,,,,,,,,
search_width,half-width-10s,-367.87761939367795,-0.15177514026395128,-0.1503301777580156,,,,,,,,
search_width,half-width-15s,-367.9613711520756,-0.14114873078691328,-0.14481734377606034,,,,,,,,
bias_inference,hac-4_block-7,-367.87761939367795,-0.13373106138487773,-0.15706880609228016,0.3052536260680751,0.06808075683188836,-0.40582914261760017,0.14882054990311552,-0.40671371101910264,0.11961399394172685,,
bias_inference,hac-8_block-14,-367.87761939367795,-0.13373106138487773,-0.15706880609228016,0.35107562444113766,0.06808075683188836,-0.40977946558346334,0.14122119384529694,-0.4338730736366985,0.12541399601816408,,
bias_inference,hac-16_block-28,-367.87761939367795,-0.13373106138487773,-0.15706880609228016,0.3728842901811174,0.06808075683188836,-0.39687546546989344,0.14100577354194477,-0.42072843533143145,0.1351176238891843,,
fusion,q-factor-0.1_gate-0.99,-367.87761939367795,-0.15177514026395128,-0.1503301777580156,0.35107562444113766,0.06808075683188836,,,,,0.3910221055659088,2.0603503904173115
fusion,q-factor-1_gate-0.99,-367.87761939367795,-0.15177514026395128,-0.1503301777580156,0.35107562444113766,0.06808075683188836,,,,,2.820057137034881e-15,2.012679963192312
fusion,q-factor-10_gate-0.99,-367.87761939367795,-0.15177514026395128,-0.1503301777580156,0.35107562444113766,0.06808075683188836,,,,,0.45568730594457435,1.961465718082026
fusion,q-factor-1_gate-0.975,-367.87761939367795,-0.15177514026395128,-0.1503301777580156,0.35107562444113766,0.06808075683188836,,,,,0.03913084751962559,2.0101212164748703
fusion,q-factor-1_gate-0.995,-367.87761939367795,-0.15177514026395128,-0.1503301777580156,0.35107562444113766,0.06808075683188836,,,,,0.01952094249553454,2.0134527752090268
